TITLE	AUTHOR	ISBN	YEAR	SUBJECT AREA	PROGRAMMING LANGUAGE	TOPICS	NUM COPIES
3D Game Programming with C++	De Goes, John	1-57610-400-1	2000	Game Development	C++	C++, Game Development, 3D Game Development	1
3D Graphics File Formats: A Programmer's Reference	Rule, Keith	0-201-48835-3	1996	Graphics	C/C++	3D Graphics, File formats	1
3D Studio Max R3 In Depth	Polevoi, Rob	1-57610-432-X	1999	Graphics	n/a	Graphics, 3D animation	1
6800 Assembly language programming	Kane, Gerry;Hawkins, Doug; Lenventhal, Lance	0-07-931062-1	1981	Assembly Language	68000 assembly	68000 assembly	1
80386 Programmer's Reference Manual	Intel	1-55512-022-9	1987	Assembly	x86	Intel, 80386, Assembly	1
A First Course in Probability 7th Edition	Press, Sheldon	0-13-185662-6	2006	Probability	n/a	Statistics, Textbook, Probablity, Math	1
A Survey of Shadow 	Woo, Andrew; Poulin, Pierre; Fournier, Alain	n/a	1990	Shadow Algorithms	n/a	survey, shadowing, hard shadow, soft shadow, transparency, caustics, parametric and implicit surface, umbra, penumbra, illumination, self-shadowing, particles, inter-reflections, scanline, ray tracing, radiosity	1
Adobe Photoshop 5.5	n/a	0-201-65895-X	1999	Photoshop	n/a	Graphics, tools, Adobe, Photoshop	1
Advanced Perl Programming	Srinivasan, Sriram	1-56592-220-4	1997	Programming	Perl	Perl	1
Advanced Programming in Pascal with Data Structures	Nyhoff, Larry; Leestma, Sanford	0-02-369550-1	1988	Programming	Pascal	Pascal, Data Structures	1
Advanced Programming in the UNIX Environment	Stevens, Richard	0-201-56317-7	1992	UNIX	C	System Calls, UNIX, ANSI C, Advanced I/O, IPC	2
Algorithm Design	Kleinberg, Jon; Tados, Eva	0-321-29535-8	2006	Algorithms	N/A	Algorithms	1
An Introduction to Language	Fromkin, Victoria; Rodman, Robert	0-03-006532-1	1988	Linguistics	n/a	Linguistics, language	1
An Introduction to Object-Oriented Programming with Java	Wu, Thomas C.	0-07-292195-1	2004	Programming	Java	Java, Object-oriented programming	2
An Introduction to Physically Based Modeling: Rigid Body Simulation I-Unconstrained Rigid Body Dynamics	Baraff, David	n/a	1997	Rigid Body Simulation	n/a	Rigid Body Simulation, Rigid Bodies, Simulation, Dynamics	1
An Introduction to Programming Using Microsoft Visual Basic (Versions 5 and 6)	Brown, Beth; Presley, Bruce	1-879233-21-5	1999	Programming	Visual Basic	Programming, Microsoft, Visual Basic	1
ANSI Common Lisp	Graham, Paul	0-13-370875-6	1996	Functional Programming	Lisp	Functional Programming	1
Applied Microsoft .NET Framework Programming	Richter, Jeffrey	0-7356-1422-0	2002	Programming	C#, .NET	Microsoft, C#, .NET, Web Development	1
Artificial Life	Levey, Steven	0-679-40774-X	1992	Fiction	n/a	Fiction	1
Assembler: Inside & Out	Hahn, Harley	n/a	1992	Assembly	x86	Assembly, Assembler, x86, Intel, Microsoft	1
Beginning Perl for Bioinformatics	Tisdall, James	0-596-00080-4	2001	Programming	Perl	Perl, Bioinformatics	1
Biology Appreciation Companion of Animals 3rd Edition	Kean, Ron	978-0-07-339370-4	2008	Animal Sciences	n/a	Animal Sciences 200	1
Building Internet Firewalls	Chapman, Brent; Zwicky, Elizabeth	1-56592-124-0	1995	Internet Security	n/a	Networking, Security, Firewalls, Filtering, Proxies	
Building Web Solutions with ASP.NET	Esposito, Dino	0-7356-1578-0	2002	Programming	C#, .NET	Microsoft, C#, .NET, Web Development, ASP.NET, ADO.NET	1
C Primer Plus 4th Edition	Prata, Stephen	0-672-32222-6	2002	C Primer	C	C, Tutorial, Primer	1
C# Essentials	Albahari, Ben; Drayton, Peter; Merrill, Brad	0-596-00079-0	2001	Programming	C#	C#	1
C++ GUI Programming with Qt 4	Blanchette, Jasmin; Summerfield, Mark	978-0-13-235416-5	2008	Programming	C++	C++, GUI, Qt 4	1
C++ How to Program	Deitel, H. M.; Deitel P. J.	0-13-117334-0	1994	Programming	C++	C++	1
Calculus 8th. Edition	Varber, Dale; Purcell, Edwin J.;  Rigdon, Steven E.	0-13-081137-8	2000	Math, Calculus	n/a	Calculus	1
Common Lisp the Language 2nd Edition	Steele Jr., Guy L. 	1-55558-041-6	1990	Functional Programming	Lisp	Functional Programming	1
Computer Architecture News Vol 38, No. 2	Computer Architecture News, ACM	(ISSN) 0163-5964	5/1/2010	Architecture	n/a	Comp. Arch., Internet Nuggets, Storage, CPU	1
Computer Graphics	Hearn, Donald; Baker, M. Pauline	0-13-161530-0	1994	Graphics	FORTRAN/PHIGS	Graphics, 3D animation	1
Computer Graphics	Foley; van Dam; Feiner; Hughes	0-201-84840-6	1996	Graphics	SPHIGS	Graphics	1
Computer Networking: A Top-Down Approach Featuring the Internet	Kurose, James F.; Ross, Keith W.	7-04-012231-6	2005	Networks	n/a	Networks, Internet	1
Computer Networks: A systems approach	Peterson, Larry; Davie, Bruce	0-12-370548-7	2007	Computer Networks	n/a	Computer Networks	1
Computer Organization and Design	Patterson, David A.; Hennessy, John L.	978-0-12-374750-1	2012	Hardware/Software	MIPS	Hardware, Architecture, OS, Assembly, 354	1
Concurrent Programming in Java: Design Principles and Patterns	Lea, Doug	0-201-69581-2	1997	Programming	Java	Java, Concurrency, Monitors, Threads	1
Cracking the Coding Interview 6th Edition	McDowell, Gayle Laakmann	978-0-9847828-5-7	2015	Interview Prep	n/a	Inverview Questions	2
